TestList,factornames,lambda_ds,tstat_ds,lambda_ss,tstat_ss,lambda_FF3,tstat_FF3,lambda_ols,tstat_ols,avg,tstat_avg
136,Cash holdings,-34.17429125483338,-0.4196647504857762,15.278019665895753,0.1704006851810375,10.289764737130035,0.5433509746542591,-17.85901266566893,-0.15691269522601084,12.781594257028116,0.983821579842602
137,HML Devil ,53.62101714934408,1.0282415819089104,-13.09912245639312,-0.24782962115610613,-99.52903646025197,-2.4579816029916715,67.97061639735138,0.838918625927956,22.735901084337353,1.456856793870077
138,Gross profitability,19.542520762333695,0.476283731558391,2.989554090008219,0.0640855021290621,23.404917310644347,1.9991144746957812,13.450302323853352,0.25869136320871633,14.94496767068273,1.4466306162422178
139,Organizational Capital,27.560385458861692,0.9154262162077805,-0.944215763291348,-0.02899229162242617,20.168990216309396,1.9062516977906014,15.863782416881923,0.4098168451486418,20.883010361445784,2.053557363691997
140,Betting Against Beta ,34.582014962870545,1.4470432184627329,38.188393215672846,1.4903007454305783,35.90570676545384,2.24895475738747,48.854384801950765,1.4920213680204881,91.35188767068273,5.97735271640794
141,Quality Minus Junk ,72.91873157646496,2.0287845981289103,4.207795409298796,0.10964945282909234,38.97299188324297,3.101654986589486,49.74123664351782,1.035901162606207,43.132836867469884,3.8690146019130403
142,Employee growth rate,43.07806603481852,1.361439675609927,-4.198389377227821,-0.12177782176821157,-11.578736373157836,-0.8861535605356909,18.13200705814289,0.37263996624053114,7.551365823293174,0.8289442066000123
143,Growth in advertising expense,-12.36451064339623,-1.0919993883542016,0.35442010478697733,0.029739615522449317,12.405504802354903,1.317555056859408,-2.1153044034265642,-0.12857967037023715,7.016391967871486,0.8394919629028138
144,Book Asset Liquidity,39.56356393250357,1.0175625315143288,4.716152048416824,0.11421393734890718,20.330357415920346,1.5880791019746594,19.60639973886576,0.42201078686331844,8.601406827309235,0.7937193638086636
145,Robust Minus Weak ,160.32497445240435,4.454137281708739,14.782128484870706,0.40644005837538294,20.092255185241687,1.8044755021647534,73.50557939579107,1.475676679251974,33.773092369477915,3.2073910253530515
146,Conservative Minus Aggressive,37.74584447912326,1.052223036622892,0.21041192293999647,0.005792564141676955,3.4526966157519565,0.2769223225077665,6.552801730799477,0.13850884666575922,26.411646586345384,3.017186670368226
147,HXZ Investment,50.94381413515955,2.107826504842757,5.104786158524066,0.20713695751223382,20.787938154019635,1.9430123988208499,39.87536160313685,1.0833082160890783,34.21806562248996,4.1706048598492105
148,HXZ Profitability ,76.59459164603611,3.4727231169832944,23.165316610307933,0.8613054977313576,33.40942560319768,2.915781916254932,103.99991261036372,2.8658645539255043,56.56942475903615,4.990126368142727
149,Intermediary Risk Factor,111.82595908832705,2.208056745956087,60.40347098836199,1.1871621296596686,4.068375730715316,0.08300599678449429,22.451658792872333,0.32025235128468293,15.0885483064516,0.510783291225221
150,Convertible debt indicator,-15.242794639590503,-1.404576837259592,-38.634451718770414,-3.286886274821622,26.210816498463725,3.3197537607212513,16.726493194794717,1.009476060702973,11.087363734939757,1.6983096987863286
